Amount,Description,Transaction_ID
7969.0,Customer opening,289
7442.71,Customer opening,290
14786.1,Customer opening,291
14716.0,Customer opening,292
762.0,Customer opening,293
762.0,Customer opening,294
96000.0,Customer opening,295
92000.0,Customer opening,296
68000.0,Customer opening,297
78579.2,Customer opening,298
15398.4,Customer opening,299
13975.92,Customer opening,300
7219.2,Customer opening,301
13998.48,Customer opening,302
7174.08,Customer opening,303
258416.06,Customer opening,304
39522.14,Customer opening,305
9440.0,Customer opening,306
1095.0,Customer opening,307
1155.0,Customer opening,308
4425.0,Customer opening,309
180975.0,Customer opening,310
876300.0,Customer opening,311
134366.0,Customer opening,312
2931516.0,Customer opening,313
2892298.0,Customer opening,314
2446706.0,Customer opening,315
3625075.0,Customer opening,316
5961075.0,Customer opening,317
5892444.0,Customer opening,318
2124666.0,Customer opening,319
6005195.0,Customer opening,320
2408568.0,Customer opening,321
6093435.0,Customer opening,322
3582048.0,Customer opening,323
1140676.0,Customer opening,324
5801754.0,Customer opening,325
939222.0,Customer opening,326
898931.0,Customer opening,327
15326.4,Customer opening,328
15202.8,Customer opening,329
7176.0,Customer opening,330
735.0,Customer opening,331
375.0,Customer opening,332
1200.0,Customer opening,333
1125.0,Customer opening,334
405.0,Customer opening,335
21973.0,Customer opening,336
28719.0,Customer opening,337
12882.0,Customer opening,338
10311.0,Customer opening,339
25928.0,Customer opening,340
29824.0,Customer opening,341
21886.0,Customer opening,342
1108862.0,Customer opening,343
1100226.0,Customer opening,344
894086.08,Customer opening,345
783375.29,Customer opening,346
109947.99,Customer opening,347
110796.64,Customer opening,348
110546.81,Customer opening,349
19702.8,Customer opening,350
19698.8,Customer opening,351
4743.76,Customer opening,352
930.92,Customer opening,353
2765.38,Customer opening,354
1869.24,Customer opening,355
927.22,Customer opening,356
912.0,Customer opening,357
8429333.0,Customer opening,358
793877.0,Customer opening,359
5926760.0,Customer opening,360
2065528.0,Customer opening,361
3051620.0,Customer opening,362
2140934.0,Customer opening,363
2995244.0,Customer opening,364
713042.0,Customer opening,365
11552034.0,Customer opening,366
2090564.0,Customer opening,367
8833764.0,Customer opening,368
1328960.0,Customer opening,369
5738025.0,Customer opening,370
1328357.0,Customer opening,371
5902249.0,Customer opening,372
1409795.0,Customer opening,373
6061570.0,Customer opening,374
2342693.0,Customer opening,375
1132942.0,Customer opening,376
7151.2,Customer opening,377
1125.0,Customer opening,378
345.0,Customer opening,379
252.0,Customer opening,380
1215.0,Customer opening,381
1205.0,Customer opening,382
3948.7,Customer opening,383
4344.2,Customer opening,384
4180.4,Customer opening,385
3675888.0,Customer opening,386
271.34,Customer opening,387
1483.24,Customer opening,388
3064905.0,Customer opening,389
3188307.0,Customer opening,390
106075.2,Customer opening,391
19360.2,Customer opening,392
3339.0,Customer opening,393
20160.0,Customer opening,394
7724.16,Customer opening,395
2607.36,Customer opening,396
4406.4,Customer opening,397
7303.68,Customer opening,398
705.0,Customer opening,399
420.0,Customer opening,400
300.0,Customer opening,401
600.0,Customer opening,402
4504.5,Customer opening,403
2625.0,Customer opening,404
688489.8,Customer opening,405
18306.54,Customer opening,406
18259.56,Customer opening,407
15151.5,Customer opening,408
15184.0,Customer opening,409
15210.0,Customer opening,410
18063.81,Customer opening,411
18330.03,Customer opening,412
15210.0,Customer opening,413
18259.56,Customer opening,414
19641.5,Customer opening,415
21672.0,Customer opening,416
9816338.0,Customer opening,417
9598978.0,Customer opening,418
10319068.0,Customer opening,419
9219819.0,Customer opening,420
5508.8,Customer opening,421
600.0,Customer opening,422
300.0,Customer opening,423
300.0,Customer opening,424
1591.1,Customer opening,425
56299.1,Customer opening,426
55600.6,Customer opening,427
32664.4,Customer opening,428
32061.15,Customer opening,429
31965.9,Customer opening,430
9201.15,Customer opening,431
9982.2,Customer opening,432
548.64,Customer opening,433
4617.72,Customer opening,434
8260.08,Customer opening,435
3148.2,Customer opening,436
9208.32,Customer opening,437
695084.55,Customer opening,438
28432.5,Customer opening,439
528.0,Customer opening,440
1648.61,Customer opening,441
2347.2,Customer opening,442
6025904.0,Customer opening,443
3118691.0,Customer opening,444
5810220.0,Customer opening,445
146050.0,Customer opening,446
2952077.0,Customer opening,447
114503.0,Customer opening,448
2941780.0,Customer opening,449
2987482.0,Customer opening,450
848267.26,Customer opening,451
940.0,Customer opening,452
108986.76,Customer opening,453
438150.0,Customer opening,454
19054.8,Customer opening,455
5116.8,Customer opening,456
5120.9,Customer opening,457
5120.9,Customer opening,458
5161.9,Customer opening,459
5034.8,Customer opening,460
4891.3,Customer opening,461
4887.2,Customer opening,462
19086.4,Customer opening,463
1998.4,Customer opening,464
5012.0,Customer opening,465
5008.0,Customer opening,466
17553.6,Customer opening,467
4992.0,Customer opening,468
1998.4,Customer opening,469
4915.9,Customer opening,470
18308.4,Customer opening,471
4992.0,Customer opening,472
4992.0,Customer opening,473
4992.0,Customer opening,474
4755.96,Customer opening,475
4957.92,Customer opening,476
1996.8,Customer opening,477
17914.2,Customer opening,478
4787.64,Customer opening,479
17578.4,Customer opening,480
1960.0,Customer opening,481
17490.8,Customer opening,482
4668.84,Customer opening,483
1956.8,Customer opening,484
324.0,Customer opening,485
456.0,Customer opening,486
19152.9,Customer opening,487
9075.36,Customer opening,488
47893.2,Customer opening,489
20679.6,Customer opening,490
37713.0,Customer opening,491
3054.0,Customer opening,492
44971.2,Customer opening,493
2948.4,Customer opening,494
300.0,Customer opening,495
1476.0,Customer opening,496
1200.0,Customer opening,497
190167.57,Customer opening,498
199020.24,Customer opening,499
91.0,Customer opening,500
1008644.42,Customer opening,501
818434.62,Customer opening,502
190091.32,Customer opening,503
192546.73,Customer opening,504
11846.4,Customer opening,505
1029159.9,Customer opening,506
1029626.95,Customer opening,507
111125.36,Customer opening,508
109475.22,Customer opening,509
122947.75,Customer opening,510
123003.55,Customer opening,511
2315604.0,Customer opening,512
1341349.0,Customer opening,513
3526384.0,Customer opening,514
2406129.0,Customer opening,515
1099680.0,Customer opening,516
2363953.0,Customer opening,517
3183877.0,Customer opening,518
5490070.0,Customer opening,519
9850209.0,Customer opening,520
19859793.0,Customer opening,521
19451930.0,Customer opening,522
9647530.0,Customer opening,523
30472075.0,Customer opening,524
18871509.0,Customer opening,525
8403610.0,Customer opening,526
17425030.0,Customer opening,527
26706210.0,Customer opening,528
8761659.0,Customer opening,529
212304.54,Customer opening,530
212190.91,Customer opening,531
212604.2,Customer opening,532
212331.44,Customer opening,533
1032365.66,Customer opening,534
1016988.39,Customer opening,535
894034.0,Customer opening,536
157568.21,Customer opening,537
140846.92,Customer opening,538
891977.3,Customer opening,539
12039987.0,Customer opening,540
43306023.0,Customer opening,541
2755944.0,Customer opening,542
31415893.0,Customer opening,543
57671120.0,Customer opening,544
31474430.0,Customer opening,545
2543061.0,Customer opening,546
320626.31,Customer opening,547
13008.87,Customer opening,548
19152.9,Customer opening,549
9075.36,Customer opening,550
47893.2,Customer opening,551
20679.6,Customer opening,552
37713.0,Customer opening,553
3054.0,Customer opening,554
44971.2,Customer opening,555
2948.4,Customer opening,556
300.0,Customer opening,557
1476.0,Customer opening,558
1200.0,Customer opening,559
28432.5,Customer opening,560
528.0,Customer opening,561
19152.9,Customer opening,562
9075.36,Customer opening,563
47893.2,Customer opening,564
20679.6,Customer opening,565
37713.0,Customer opening,566
3054.0,Customer opening,567
44971.2,Customer opening,568
2948.4,Customer opening,569
300.0,Customer opening,570
1476.0,Customer opening,571
1200.0,Customer opening,572
28432.5,Customer opening,573
528.0,Customer opening,574
2109927.0,VAT Opening (Sale) - PBZ-23-05783 - BOULIAS GP,575
1636481.0,VAT Opening (Sale) - PBZ-23-05834 - Borsari E & C SRL,576
1643328.0,VAT Opening (Sale) - PBZ-23-05835 - Borsari E & C SRL,577
60037618.0,VAT Opening (Sale) - PBZ-23-05836 - Borsari E & C SRL,578
25087873.0,VAT Opening (Sale) - PBZ-23-05842 - Borsari E & C SRL,579
40768943.0,VAT Opening (Sale) - PBZ-23-05845 - Starck International B.V,580
5171987.0,VAT Opening (Sale) - PBZ-23-05849 - GRAIN EXPRESS SRL,581
1940148.0,VAT Opening (Sale) - PBZ-23-05858 - BayWa Ag,582
1807705.0,"VAT Opening (Sale) - PBZ-23-05860 - Mráz Agro SK, s.r.o.",583
6866465.0,VAT Opening (Sale) - PBZ-23-05861 - RMK TRADING s.r.o.,584
4057477.0,VAT Opening (Sale) - PBZ-23-05873 - Borsari E & C SRL,585
1533275.0,VAT Opening (Sale) - PBZ-23-05881 - AGRICOLA UTVINIS SRL,586
571421.0,"VAT Opening (Sale) - PBZ-23-05887 - Mraz Agro CZ, s.r.o.",587
5480688.0,"VAT Opening (Sale) - PBZ-23-05888 - Mraz Agro CZ, s.r.o.",588
1231926.0,VAT Opening (Sale) - PBZ-23-05890 - Anton Knoll Rohstoffe GmbH & Co. KG,589
2286162.0,"VAT Opening (Sale) - PBZ-23-05896 - Agrorama, s.r.o",590
2783390.0,VAT Opening (Sale) - PBZ-23-05899 - PHU Agrovet Andrzej Konopka,591
463130.0,VAT Opening (Sale) - PBZ-23-05907 - Comagri Oil SRL,592
2334389.0,"VAT Opening (Sale) - PBZ-23-05908 - Agrorama, s.r.o",593
902123.0,VAT Opening (Sale) - PBZ-23-05914 - Cefetra Feed Service B.V.,594
6145443.0,VAT Opening (Sale) - PBZ-23-05922 - BayWa Ag,595
27521.0,VAT Opening (Sale) - PBZ-23-05954 - BOULIAS GP,596
1659128.0,VAT Opening (Sale) - PBZ-23-05991 - GRAIN EXPRESS SRL,597
3516013.0,VAT Opening (Sale) - PBZ-23-06012 - Zarobkowy Przewóz Towarów Waldemar Stanczuk,598
5852079.0,VAT Opening (Sale) - PBZ-23-06051 - Marvesa Oils and Fats B.V,599
2730542.0,VAT Opening (Sale) - PBZ-23-06052 - EUROCORP TRADE s.r.o.,600
92255246.0,VAT Opening (Sale) - PBZ-23-05950 - Arkady Feed (U.K.) Ltd,601
101610482.0,VAT Opening (Sale) - PBZ-23-05951 - Arkady Feed (U.K.) Ltd,602
110536387.0,VAT Opening (Sale) - PBZ-23-05972 - Arkady Feed (U.K.) Ltd,603
30003895.0,VAT Opening (Sale) - PBZ-23-06038 - Castoria Group ou,604
7697693.0,VAT Opening (Sale) - PBZ-23-06041 - Renewable Energy Storage & Trading (REST) B.V.,605
2746885.0,VAT Opening (Sale) - PBZ-23-06047 - PHU Agrovet Andrzej Konopka,606
340093614.0,VAT Opening (Sale) - PBZ-23-06080 - Bioagra S.A.,607
41464233.0,VAT Opening (Sale) - PBZ-23-06172 - Bioagra S.A.,608
995568.0,VAT Opening (Sale) - PBZ-23-06175 - Renewable Energy Storage & Trading (REST) B.V.,609
1499203.0,VAT Opening (Sale) - PBZ-23-05609 - BIOMASS CONCEPT S.L,610
1769794.0,VAT Opening (Sale) - PBZ-23-05610 - Cargill Poland Sp. z o.o.,611
19268694.0,VAT Opening (Sale) - PBZ-23-05843 - R&B Agri Gmbh,612
7146879.0,VAT Opening (Sale) - PBZ-23-05870 - R&B Agri Gmbh,613
4405112.0,VAT Opening (Sale) - PBZ-23-05918 - R&B Agri Gmbh,614
324945739.0,VAT Opening (Sale) - PBZ-23-05964 - EDF Trading Europe Limited,615
532969969.0,VAT Opening (Sale) - PBZ-23-05968 - CAVIRO Extra S.p.A. con s.u.,616
371840087.0,VAT Opening (Sale) - PBZ-23-05974 - DISTILLERIE MAZZARI S.P.A.,617
6012587.0,"VAT Opening (Sale) - PBZ-23-06033 - Mraz Agro CZ, s.r.o.",618
6963466.0,VAT Opening (Sale) - PBZ-23-05062 - Skretting Italia,619
341210617.0,VAT Opening (Sale) - PBZ-23-05966 - Varo Energy Marketing AG,620
1719953.0,VAT Opening (Sale) - PBZ-23-05996 - ZUMA TRADING s.r.o.,621
2382619.0,VAT Opening (Sale) - PBZ-23-06016 - RMK TRADING s.r.o.,622
1538848.0,VAT Opening (Sale) - PBZ-23-06031 - AGRICOLA UTVINIS SRL,623
607529.0,VAT Opening (Sale) - PBZ-23-06044 - Anton Knoll Rohstoffe GmbH & Co. KG,624
39075773.0,VAT Opening (Sale) - PBZ-23-06168 - Varo Energy Marketing AG,625
232737779.0,VAT Opening (Sale) - PBZ-23-05963 - Mitsui & Co. Deutschland GmbH,626
2742093.0,VAT Opening (Sale) - PBZ-23-06128 - PHU Agrovet Andrzej Konopka,627
5884037.0,VAT Opening (Sale) - PBZ-23-06132 - Castoria Group ou,628
340857715.0,VAT Opening (Sale) - PBZ-23-05661 - OMV Downstream GmbH,629
13388869.0,VAT Opening (Sale) - PBZ-23-05855 - Occasio d.o.o.,630
884367.0,VAT Opening (Sale) - PBZ-23-05905 - Occasio d.o.o.,631
7127355.0,VAT Opening (Sale) - PBZ-23-05916 - Perutnina Ptuj d.o.o.,632
1683774.0,"VAT Opening (Sale) - PBZ-23-06134 - PPHU ""RAFF"" Rafal Blaszczyk",633
5809294.0,VAT Opening (Sale) - PBZ-23-06135 - Marvesa Oils and Fats B.V,634
394240283.0,VAT Opening (Sale) - PBZ-23-05965 - Kraul & Wilkening u. Stelling GmbH,635
47097595.0,VAT Opening (Sale) - PBZ-23-06167 - Kraul & Wilkening u. Stelling GmbH,636
36602997.0,VAT Opening (Sale) - PBZ-23-05931 - R&B Agri Gmbh,637
43238250.0,VAT Opening (Sale) - PBZ-23-05932 - R&B Agri Gmbh,638
69181200.0,VAT Opening (Sale) - PBZ-23-05933 - R&B Agri Gmbh,639
2116792.0,"VAT Opening (Sale) - PBZ-23-06129 - Agrorama, s.r.o",640
2105023.0,VAT Opening (Sale) - PBZ-23-06131 - EJ ZAMOJTUK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCI,641
657250.0,VAT Opening (Sale) - PBZ-23-05754 - Compag Handels GmbH,642
2043325.0,VAT Opening (Sale) - PBZ-23-05755 - Compag Handels GmbH,643
716502.0,VAT Opening (Sale) - PBZ-23-05762 - Compag Handels GmbH,644
4911648.0,VAT Opening (Sale) - PBZ-23-05765 - BIO-ELEKT D.O.O.,645
7280313.0,VAT Opening (Sale) - PBZ-23-05770 - Cargill Poland Sp. z o.o.,646
3931378.0,VAT Opening (Sale) - PBZ-23-05774 - BIO-ELEKT D.O.O.,647
10738172.0,VAT Opening (Sale) - PBZ-23-05877 - Tracomex BV,648
381011579.0,VAT Opening (Sale) - PBZ-23-05937 - Kraul & Wilkening u. Stelling GmbH,649
4542384.0,VAT Opening (Sale) - PBZ-23-05949 - Kraul & Wilkening u. Stelling GmbH,650
393523420.0,VAT Opening (Sale) - PBZ-23-05967 - Kraul & Wilkening u. Stelling GmbH,651
6648883.0,VAT Opening (Sale) - PBZ-23-05982 - Borsari E & C SRL,652
1812929.0,VAT Opening (Sale) - PBZ-23-05983 - BayWa Ag,653
2153827.0,VAT Opening (Sale) - PBZ-23-05984 - BayWa Ag,654
22412657.0,VAT Opening (Sale) - PBZ-23-06059 - Borsari E & C SRL,655
16399522.0,VAT Opening (Sale) - PBZ-23-06060 - Borsari E & C SRL,656
18912956.0,VAT Opening (Sale) - PBZ-23-06062 - Borsari E & C SRL,657
2056384.0,VAT Opening (Sale) - PBZ-23-06083 - BayWa Ag,658
98671004.0,"VAT Opening (Sale) - PBZ-23-06085 - Cereales Y Harinas Garsan ,SL",659
8281305.0,"VAT Opening (Sale) - PBZ-23-06130 - LÍPIDOS SANTIGA, S.A.",660
15102201.0,VAT Opening (Sale) - PBZ-23-06138 - AMF Life Mateusz Wróbel,661
3607213.0,VAT Opening (Sale) - PBZ-23-06139 - AMF Life Mateusz Wróbel,662
298293643.0,VAT Opening (Sale) - PBZ-23-06154 - LYONDELL CHEMIE NEDERLAND B.V.,663
41977178.0,VAT Opening (Sale) - PBZ-23-06166 - Kraul & Wilkening u. Stelling GmbH,664
47011957.0,VAT Opening (Sale) - PBZ-23-06169 - Kraul & Wilkening u. Stelling GmbH,665
5712873.0,VAT Opening (Sale) - PBZ-23-05155 - Skretting Italia,666
12213248.0,VAT Opening (Sale) - PBZ-23-05846 - PROVIMI ROMANIA SRL,667
298263470.0,VAT Opening (Sale) - PBZ-23-06155 - Varo Energy Marketing AG,668
6992109.0,VAT Opening (Sale) - PBZ-23-05990 - R&B Agri Gmbh,669
7122962.0,VAT Opening (Sale) - PBZ-23-06006 - R&B Agri Gmbh,670
8333440.0,VAT Opening (Sale) - PBZ-23-06022 - R&B Agri Gmbh,671
7528834.0,VAT Opening (Sale) - PBZ-23-06151 - BioRaffinerie Mureck GmbH,672
406031691.0,VAT Opening (Sale) - PBZ-23-05825 - Petrotel - Lukoil S.A.,673
101773913.0,VAT Opening (Sale) - PBZ-23-06164 - Petrotel - Lukoil S.A.,674
3909940.0,VAT Opening (Sale) - PBZ-23-06003 - Occasio d.o.o.,675
11340352.0,VAT Opening (Sale) - PBZ-23-06004 - Occasio d.o.o.,676
968948.0,VAT Opening (Sale) - PBZ-23-06043 - Occasio d.o.o.,677
7131668.0,VAT Opening (Sale) - PBZ-23-06045 - Perutnina Ptuj d.o.o.,678
3223106.0,VAT Opening (Sale) - PBZ-23-06124 - Borsari E & C SRL,679
7397920.0,VAT Opening (Sale) - PBZ-23-06133 - Starck International B.V,680
738971.0,VAT Opening (Sale) - PBZ-23-05852 - Compag Handels GmbH,681
1669650.0,VAT Opening (Sale) - PBZ-23-05865 - BIOMASS CONCEPT S.L,682
764375.0,VAT Opening (Sale) - PBZ-23-05889 - Compag Handels GmbH,683
9965167.0,VAT Opening (Sale) - PBZ-23-05894 - BIO-ELEKT D.O.O.,684
9712272.0,VAT Opening (Sale) - PBZ-23-05898 - Compag Handels GmbH,685
9153825.0,VAT Opening (Sale) - PBZ-23-05920 - Cargill Poland Sp. z o.o.,686
5756103.0,VAT Opening (Sale) - PBZ-23-05280 - Skretting Italia,687
8208077.0,VAT Opening (Sale) - PBZ-23-05999 - PROVIMI ROMANIA SRL,688
2307383.0,VAT Opening (Sale) - PBZ-23-06040 - PROVIMI ROMANIA SRL,689
12564679.0,VAT Opening (Sale) - PBZ-23-06125 - R&B Agri Gmbh,690
348529747.0,VAT Opening (Sale) - PBZ-23-06079 - OMV Downstream GmbH,691
40268277.0,VAT Opening (Sale) - PBZ-23-06173 - OMV Downstream GmbH,692
361296416.0,VAT Opening (Sale) - PBZ-23-05969 - Petrotel - Lukoil S.A.,693
949025.0,VAT Opening (Sale) - PBZ-23-06120 - Occasio d.o.o.,694
3909851.0,VAT Opening (Sale) - PBZ-23-06126 - Occasio d.o.o.,695
1908139.0,VAT Opening (Sale) - PBZ-23-06127 - Occasio d.o.o.,696
41954690.0,VAT Opening (Sale) - PBZ-23-06170 - Petrotel - Lukoil S.A.,697
486018697.0,VAT Opening (Sale) - PBZ-23-06152 - OMV Petrom S.A.,698
309381477.0,VAT Opening (Sale) - PBZ-23-06153 - S.C. Rompetrol Rafinare SA,699
5779040.0,VAT Opening (Sale) - PBZ-23-05423 - Skretting Italia,700
6863345.0,VAT Opening (Sale) - PBZ-23-05437 - Skretting Italia,701
821125.0,VAT Opening (Sale) - PBZ-23-05989 - Compag Handels GmbH,702
3904594.0,VAT Opening (Sale) - PBZ-23-05993 - Compag Handels GmbH,703
1596202.0,VAT Opening (Sale) - PBZ-23-05994 - BIOMASS CONCEPT S.L,704
9258400.0,VAT Opening (Sale) - PBZ-23-05998 - Cargill Poland Sp. z o.o.,705
11387700.0,VAT Opening (Sale) - PBZ-23-06032 - BIO-ELEKT D.O.O.,706
730364.0,VAT Opening (Sale) - PBZ-23-06049 - Compag Handels GmbH,707
361669.0,VAT Opening (Sale) - PBZ-23-06058 - Compag Handels GmbH,708
380426607.0,VAT Opening (Sale) - PBZ-23-05970 - Petrotel - Lukoil S.A.,709
44176136.0,VAT Opening (Sale) - PBZ-23-06171 - Petrotel - Lukoil S.A.,710
302357270.0,VAT Opening (Sale) - PBZ-23-06157 - OMV Downstream GmbH,711
6968528.0,VAT Opening (Sale) - PBZ-23-05526 - Skretting Italia,712
8363081.0,VAT Opening (Sale) - PBZ-23-06119 - BIO-ELEKT D.O.O.,713
510543.0,VAT Opening (Sale) - PBZ-23-06123 - Compag Handels GmbH,714
